epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,1.936479,0.435736,1.358676,0.599287,1002.657
2,0.390222,0.879842,0.968037,0.774584,994.236
3,0.124500,0.964527,0.723899,0.830483,859.921
4,0.058658,0.984197,0.689055,0.854157,66.706
5,0.041378,0.989377,0.751112,0.849248,64.593
6,0.028314,0.992117,0.736787,0.862549,64.267
7,0.013454,0.996734,0.839142,0.856295,62.540
8,0.011149,0.996922,0.795211,0.856611,65.292
9,0.028414,0.991967,0.809628,0.862074,63.905
10,0.019879,0.994895,0.746403,0.865083,64.024
